"Time (UTCG)","Lat (deg)","Lon (deg)","Alt (km)","Lat Rate (deg/sec)","Lon Rate (deg/sec)","Alt Rate (km/sec)"
8 Sep 2021 04:00:00.000,52.161,-137.441,1013.299759,0.000000,0.088533,0.000000
8 Sep 2021 04:01:00.000,52.030,-132.139,1013.252361,-0.004348,0.087993,-0.001577
8 Sep 2021 04:02:00.000,51.641,-126.901,1013.110839,-0.008607,0.086419,-0.003132
8 Sep 2021 04:03:00.000,51.000,-121.785,1012.877200,-0.012696,0.083935,-0.004642
8 Sep 2021 04:04:00.000,50.121,-116.842,1012.554761,-0.016550,0.080723,-0.006086
8 Sep 2021 04:05:00.000,49.019,-112.108,1012.148095,-0.020123,0.076991,-0.007445
8 Sep 2021 04:06:00.000,47.711,-107.608,1011.662978,-0.023390,0.072948,-0.008697
8 Sep 2021 04:07:00.000,46.216,-103.356,1011.106301,-0.026341,0.068778,-0.009826
8 Sep 2021 04:08:00.000,44.554,-99.354,1010.485977,-0.028982,0.064634,-0.010815
8 Sep 2021 04:09:00.000,42.742,-95.597,1009.810828,-0.031329,0.060628,-0.011650
8 Sep 2021 04:10:00.000,40.798,-92.074,1009.090466,-0.033401,0.056840,-0.012319
8 Sep 2021 04:11:00.000,38.737,-88.771,1008.335151,-0.035223,0.053316,-0.012813
8 Sep 2021 04:12:00.000,36.573,-85.671,1007.555654,-0.036820,0.050084,-0.013124
8 Sep 2021 04:13:00.000,34.319,-82.756,1006.763097,-0.038215,0.047150,-0.013247
8 Sep 2021 04:14:00.000,31.988,-80.009,1005.968801,-0.039431,0.044513,-0.013181
8 Sep 2021 04:15:00.000,29.588,-77.411,1005.184122,-0.040488,0.042162,-0.012927
8 Sep 2021 04:16:00.000,27.129,-74.945,1004.420287,-0.041403,0.040082,-0.012488
8 Sep 2021 04:17:00.000,24.619,-72.597,1003.688237,-0.042192,0.038257,-0.011869
8 Sep 2021 04:18:00.000,22.065,-70.352,1002.998465,-0.042869,0.036670,-0.011081
8 Sep 2021 04:19:00.000,19.474,-68.195,1002.360867,-0.043444,0.035306,-0.010134
8 Sep 2021 04:20:00.000,16.850,-66.113,1001.784596,-0.043928,0.034149,-0.009040
8 Sep 2021 04:21:00.000,14.201,-64.095,1001.277932,-0.044327,0.033187,-0.007818
8 Sep 2021 04:22:00.000,11.529,-62.129,1000.848159,-0.044648,0.032408,-0.006482
8 Sep 2021 04:23:00.000,8.841,-60.205,1000.501460,-0.044896,0.031803,-0.005053
8 Sep 2021 04:24:00.000,6.140,-58.312,1000.242822,-0.045076,0.031365,-0.003552
8 Sep 2021 04:25:00.000,3.430,-56.440,1000.075969,-0.045189,0.031088,-0.002000
8 Sep 2021 04:26:00.000,0.715,-54.581,1000.003305,-0.045238,0.030968,-0.000418
8 Sep 2021 04:27:00.000,-2.001,-52.724,1000.025875,-0.045223,0.031005,0.001169
8 Sep 2021 04:28:00.000,-4.714,-50.860,1000.143354,-0.045144,0.031199,0.002740
8 Sep 2021 04:29:00.000,-7.420,-48.979,1000.354050,-0.044999,0.031552,0.004271
8 Sep 2021 04:30:00.000,-10.116,-47.072,1000.654931,-0.044788,0.032069,0.005740
8 Sep 2021 04:31:00.000,-12.797,-45.130,1001.041665,-0.044505,0.032755,0.007127
8 Sep 2021 04:32:00.000,-15.458,-43.141,1001.508688,-0.044148,0.033619,0.008412
8 Sep 2021 04:33:00.000,-18.096,-41.094,1002.049284,-0.043710,0.034672,0.009575
8 Sep 2021 04:34:00.000,-20.705,-38.978,1002.655684,-0.043184,0.035925,0.010601
8 Sep 2021 04:35:00.000,-23.279,-36.781,1003.319178,-0.042562,0.037393,0.011475
8 Sep 2021 04:36:00.000,-25.813,-34.488,1004.030243,-0.041833,0.039090,0.012184
8 Sep 2021 04:37:00.000,-28.300,-32.087,1004.778683,-0.040986,0.041034,0.012719
8 Sep 2021 04:38:00.000,-30.732,-29.561,1005.553773,-0.040006,0.043240,0.013071
8 Sep 2021 04:39:00.000,-33.101,-26.894,1006.344417,-0.038876,0.045725,0.013236
8 Sep 2021 04:40:00.000,-35.397,-24.069,1007.139306,-0.037578,0.048502,0.013212
8 Sep 2021 04:41:00.000,-37.609,-21.069,1007.927082,-0.036090,0.051577,0.012999
8 Sep 2021 04:42:00.000,-39.726,-17.875,1008.696497,-0.034390,0.054949,0.012601
8 Sep 2021 04:43:00.000,-41.734,-14.470,1009.436575,-0.032452,0.058603,0.012023
8 Sep 2021 04:44:00.000,-43.618,-10.838,1010.136770,-0.030253,0.062502,0.011274
8 Sep 2021 04:45:00.000,-45.361,-6.966,1010.787111,-0.027770,0.066585,0.010365
8 Sep 2021 04:46:00.000,-46.946,-2.846,1011.378343,-0.024983,0.070758,0.009308
8 Sep 2021 04:47:00.000,-48.355,1.524,1011.902061,-0.021882,0.074889,0.008118
8 Sep 2021 04:48:00.000,-49.567,6.137,1012.350822,-0.018468,0.078809,0.006813
8 Sep 2021 04:49:00.000,-50.566,10.974,1012.718252,-0.014757,0.082321,0.005412
8 Sep 2021 04:50:00.000,-51.334,16.005,1012.999137,-0.010785,0.085214,0.003934
8 Sep 2021 04:51:00.000,-51.857,21.185,1013.189489,-0.006607,0.087287,0.002400
8 Sep 2021 04:52:00.000,-52.125,26.461,1013.286610,-0.002295,0.088382,0.000832
8 Sep 2021 04:53:00.000,-52.132,31.772,1013.289121,0.002065,0.088411,-0.000748
8 Sep 2021 04:54:00.000,-51.878,37.051,1013.196987,0.006381,0.087371,-0.002317
8 Sep 2021 04:55:00.000,-51.368,42.238,1013.011514,0.010569,0.085346,-0.003854
8 Sep 2021 04:56:00.000,-50.613,47.278,1012.735334,0.014553,0.082492,-0.005336
8 Sep 2021 04:57:00.000,-49.626,52.126,1012.372366,0.018279,0.079007,-0.006742
8 Sep 2021 04:58:00.000,-48.424,56.751,1011.927761,0.021709,0.075103,-0.008052
8 Sep 2021 04:59:00.000,-47.025,61.135,1011.407835,0.024826,0.070979,-0.009248
8 Sep 2021 05:00:00.000,-45.449,65.268,1010.819974,0.027630,0.066805,-0.010312
8 Sep 2021 05:01:00.000,-43.714,69.153,1010.172538,0.030129,0.062714,-0.011230
8 Sep 2021 05:02:00.000,-41.837,72.797,1009.474738,0.032343,0.058804,-0.011988
8 Sep 2021 05:03:00.000,-39.835,76.214,1008.736511,0.034294,0.055136,-0.012575
8 Sep 2021 05:04:00.000,-37.724,79.419,1007.968378,0.036006,0.051748,-0.012983
8 Sep 2021 05:05:00.000,-35.516,82.429,1007.181294,0.037504,0.048657,-0.013206
8 Sep 2021 05:06:00.000,-33.224,85.262,1006.386497,0.038812,0.045865,-0.013240
8 Sep 2021 05:07:00.000,-30.859,87.937,1005.595344,0.039950,0.043365,-0.013084
8 Sep 2021 05:08:00.000,-28.430,90.470,1004.819149,0.040938,0.041144,-0.012742
8 Sep 2021 05:09:00.000,-25.946,92.878,1004.069026,0.041792,0.039187,-0.012217
8 Sep 2021 05:10:00.000,-23.415,95.176,1003.355720,0.042526,0.037477,-0.011517
8 Sep 2021 05:11:00.000,-20.842,97.378,1002.689463,0.043153,0.035997,-0.010651
8 Sep 2021 05:12:00.000,-18.235,99.498,1002.079814,0.043684,0.034733,-0.009633
8 Sep 2021 05:13:00.000,-15.599,101.548,1001.535530,0.044127,0.033670,-0.008477
8 Sep 2021 05:14:00.000,-12.938,103.540,1001.064433,0.044488,0.032796,-0.007198
8 Sep 2021 05:15:00.000,-10.258,105.484,1000.673298,0.044774,0.032101,-0.005816
8 Sep 2021 05:16:00.000,-7.563,107.393,1000.367752,0.044990,0.031575,-0.004350
8 Sep 2021 05:17:00.000,-4.857,109.274,1000.152193,0.045138,0.031214,-0.002822
8 Sep 2021 05:18:00.000,-2.145,111.139,1000.029724,0.045220,0.031012,-0.001253
8 Sep 2021 05:19:00.000,0.571,112.996,1000.002109,0.045239,0.030966,0.000334
8 Sep 2021 05:20:00.000,3.286,114.856,1000.069746,0.045193,0.031077,0.001916
8 Sep 2021 05:21:00.000,5.996,116.726,1000.231659,0.045084,0.031346,0.003471
8 Sep 2021 05:22:00.000,8.698,118.618,1000.485519,0.044908,0.031776,0.004976
8 Sep 2021 05:23:00.000,11.387,120.540,1000.827671,0.044663,0.032372,0.006409
8 Sep 2021 05:24:00.000,14.060,122.504,1001.253190,0.044346,0.033141,0.007749
